build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
376247561,f1b36e6e898ecd77aa4101ca08702202cc3f2967,,v1.2.4,passed,854,2018-05-08 07:43:13 UTC,376247563,376247565,376247568,push
376246924,f1b36e6e898ecd77aa4101ca08702202cc3f2967,,v1.2.5,canceled,389,2018-05-08 07:40:28 UTC,376246925,376246926,376246927,push
376245039,f1b36e6e898ecd77aa4101ca08702202cc3f2967,,master,passed,459,2018-05-08 07:33:55 UTC,376245040,376245041,376245042,push
375892513,a6c1d886405a640cb0d9ceb9f71f0fb312942c0b,194,master,failed,457,2018-05-07 17:52:11 UTC,375892514,375892515,375892516,pull_request
375892489,3ebe2f3fd1461addf9266f50f72e4ee53fbe857a,,pyup-scheduled-update-2018-05-07,failed,466,2018-05-07 17:50:50 UTC,375892490,375892491,375892492,push
375892483,781f2045ffe2f056f066781a2b9747ed987f1456,,pyup-scheduled-update-2018-05-07,passed,479,2018-05-07 17:49:15 UTC,375892484,375892485,375892486,push
375632672,781f2045ffe2f056f066781a2b9747ed987f1456,,master,passed,687,2018-05-06 20:06:21 UTC,375632673,375632674,375632675,push
375628773,10eb2ad94582829e8f933ff0179efbfb1c540922,,master,failed,453,2018-05-06 19:51:27 UTC,375628774,375628775,375628776,push
375623394,598ed1b4c5d05e7ca872f8d699db10f0aec87dbf,,master,failed,454,2018-05-06 19:28:33 UTC,375623395,375623396,375623397,push
374390565,62aa58651ec126735993fe9f22336f553b8232dc,,v1.2.3,passed,917,2018-05-03 12:36:41 UTC,374390566,374390567,374390568,push
374390514,62aa58651ec126735993fe9f22336f553b8232dc,,master,passed,448,2018-05-03 12:35:11 UTC,374390515,374390516,374390517,push
374390239,d6b457c24cf341bafd8a5b9d0289292d3a9ab748,,master,passed,509,2018-05-03 12:34:05 UTC,374390240,374390241,374390242,push
374385053,a5c2c727800ec429eae3f903085b2783917bd53c,191,master,passed,511,2018-05-03 12:18:30 UTC,374385054,374385055,374385056,pull_request
374385041,9019afaad06fe4572874fc61e42e469c8ce681df,,relax-isinstance-check,passed,471,2018-05-03 12:18:29 UTC,374385042,374385043,374385044,push
374362072,835f5dfd9bda21e59345526f762bda4b06f0d811,191,master,passed,554,2018-05-03 11:16:23 UTC,374362073,374362075,374362076,pull_request
374361875,03a472ac97d6e746ad77b72e9099ada55510612d,,relax-isinstance-check,passed,493,2018-05-03 11:15:49 UTC,374361876,374361877,374361878,push
373382804,780975bdb8b8cd7145377280e8adaf6e53f67fce,,master,passed,446,2018-05-01 08:39:54 UTC,373382805,373382806,373382807,push
373360393,cbd7e15dfa3f87ad32093e857bc4f80d0f09e73a,,v1.2.2,passed,846,2018-05-01 07:08:32 UTC,373360394,373360395,373360396,push
373360354,cbd7e15dfa3f87ad32093e857bc4f80d0f09e73a,,master,passed,444,2018-05-01 07:07:44 UTC,373360355,373360356,373360357,push
373221196,b0c59cfd00e039983d3e8e2fc45af0f6091efb4e,,master,passed,478,2018-04-30 20:56:02 UTC,373221197,373221198,373221199,push
373214099,7f721774852136df5bc069961f264e44127c1546,,master,errored,517,2018-04-30 20:41:43 UTC,373214100,373214101,373214102,373214103,push
373206329,21d9f2330fad90b80518030a8b6ad9ecbcf44714,,master,errored,468,2018-04-30 20:40:05 UTC,373206330,373206331,373206332,373206333,push
373197073,9932cf10fc693c389fd6c3a354e218647da55df6,,master,errored,536,2018-04-30 20:01:24 UTC,373197074,373197075,373197076,373197077,push
373196921,46e164113258940002876756d6a471b16ccd6f36,,master,errored,496,2018-04-30 19:58:36 UTC,373196922,373196923,373196924,373196925,push
373193674,46e164113258940002876756d6a471b16ccd6f36,,v1.2.1,errored,1001,2018-04-30 19:49:18 UTC,373193675,373193676,373193677,373193678,push
373180993,b652f093970a7a1d77cc55edede8b8880942a17e,,master,errored,507,2018-04-30 19:17:03 UTC,373180994,373180995,373180996,373180997,push
373180227,ea1a5e6e13e7e0e7bd064a1c797848be66ed4a92,,v1.2.1,errored,716,2018-04-30 19:15:36 UTC,373180228,373180229,373180230,373180231,push
373180104,ea1a5e6e13e7e0e7bd064a1c797848be66ed4a92,,master,errored,532,2018-04-30 19:14:13 UTC,373180105,373180106,373180107,373180108,push
373033528,24e9ca994e27b61e2bd131d225c64cbe9ad400cf,188,master,passed,639,2018-04-30 17:26:17 UTC,373033529,373033530,373033531,373033534,pull_request
373033487,badb98b5121e4bf3f2b981f0ce8bccc4ad5cb47c,,pyup-scheduled-update-2018-04-30,passed,549,2018-04-30 17:24:07 UTC,373033488,373033489,373033490,373033491,push
373033464,c63c91f0d1b05446376ba81bf494608d0528a3c6,,pyup-scheduled-update-2018-04-30,passed,585,2018-04-30 17:21:20 UTC,373033465,373033466,373033467,373033468,push
373033459,ce946894a0ce80512836e367099a2bb8410db513,,pyup-scheduled-update-2018-04-30,passed,699,2018-04-30 17:19:59 UTC,373033460,373033461,373033462,373033463,push
373029593,ce946894a0ce80512836e367099a2bb8410db513,,v1.2.0,errored,1215,2018-04-30 16:18:03 UTC,373029594,373029595,373029596,373029597,push
373029429,ce946894a0ce80512836e367099a2bb8410db513,,master,passed,553,2018-04-30 16:15:09 UTC,373029430,373029431,373029432,373029433,push
373028067,41975aae0f1cc0241a10383107084b3a78933c53,,master,passed,535,2018-04-30 15:37:50 UTC,373028068,373028069,373028070,373028071,push
372938002,e44e8175991b13b786567536f7a09fb4c0e91bfd,187,master,passed,542,2018-04-30 08:48:31 UTC,372938003,372938004,372938005,372938006,pull_request
372937974,44419132345614050a6d4758eeb67cac859be0b0,,mypy,passed,640,2018-04-30 08:48:28 UTC,372937975,372937976,372937977,372937978,push
372792386,878d67525de702fa15f348f4b2c670b146831d37,187,master,passed,524,2018-04-29 20:59:52 UTC,372792387,372792388,372792389,372792390,pull_request
372697964,1846abb29e2b77ca28a4f95ca45735e24159df93,,mypy,passed,531,2018-04-29 14:38:09 UTC,372697965,372697966,372697967,372697968,push
