build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
379313268,93999dd928cbca948584dd9abce546b257b07c3d,,master,failed,4457,2018-05-15 16:57:11 UTC,379313269,379313270,379313271,379313273,379313275,379313276,379313277,379313278,379313279,379313280,379313281,379313282,379313283,379313284,379313285,379313286,379313289,379313291,379313293,379313295,379313298,379313301,379313303,379313305,379313306,379313307,379313308,379313309,cron
378819160,ef01d6991ecc7dbd87c00d4f33084883aef6ab74,,master,passed,4504,2018-05-14 16:56:14 UTC,378819162,378819163,378819164,378819167,378819168,378819169,378819170,378819171,378819173,378819175,378819176,378819177,378819178,378819179,378819180,378819181,378819182,378819183,378819184,378819185,378819186,378819187,378819188,378819189,378819190,378819191,378819192,378819193,cron
378140597,ef01d6991ecc7dbd87c00d4f33084883aef6ab74,,master,passed,4518,2018-05-12 16:56:01 UTC,378140598,378140599,378140600,378140601,378140602,378140603,378140604,378140605,378140606,378140607,378140608,378140609,378140610,378140611,378140612,378140614,378140615,378140617,378140618,378140619,378140620,378140621,378140622,378140623,378140624,378140625,378140626,378140627,cron
377365845,d27ac4d272c8aef271efd099dc0a5cf00c79abd2,,master,passed,5106,2018-05-10 16:55:38 UTC,377365846,377365847,377365848,377365849,377365850,377365851,377365852,377365855,377365857,377365858,377365860,377365862,377365863,377365864,377365865,377365866,377365867,377365868,377365869,377365870,377365871,377365873,377365875,377365876,377365877,377365878,377365879,377365880,cron
376612237,235d5abc03e41026e54b5f20c35da19729112c87,828,master,passed,4390,2018-05-09 00:28:30 UTC,376612238,376612239,376612240,376612241,376612242,376612243,376612244,376612245,376612246,376612247,376612248,376612249,376612250,376612251,376612252,376612253,376612254,376612255,376612256,376612257,376612258,376612259,376612260,376612261,376612263,376612265,376612268,376612270,pull_request
376608698,5a3c6c9b5b81499355707fdddf443b60cfceccfe,828,master,passed,4846,2018-05-08 23:35:27 UTC,376608699,376608700,376608701,376608702,376608703,376608704,376608705,376608706,376608707,376608708,376608709,376608710,376608711,376608712,376608713,376608714,376608715,376608716,376608717,376608718,376608719,376608720,376608721,376608722,376608723,376608724,376608725,376608726,pull_request
376575166,ec5b08bb7229b4985d533cf5be7ce027d9cbfc6d,828,master,failed,4835,2018-05-08 21:50:09 UTC,376575167,376575168,376575169,376575170,376575171,376575172,376575173,376575174,376575175,376575176,376575177,376575178,376575179,376575180,376575181,376575184,376575185,376575186,376575187,376575188,376575189,376575190,376575191,376575192,376575193,376575194,376575195,376575196,pull_request
376544010,2fded34c540cc48d8951e5e840a96bdfa8cea704,827,master,passed,4707,2018-05-08 20:36:34 UTC,376544011,376544012,376544013,376544014,376544015,376544016,376544017,376544018,376544019,376544020,376544021,376544022,376544023,376544024,376544025,376544026,376544027,376544028,376544029,376544030,376544031,376544032,376544033,376544034,376544035,376544036,376544037,376544038,pull_request
376453170,ee8e217fec8231e6262473d1f72fa9dad68ff3c8,,master,passed,4668,2018-05-08 16:54:54 UTC,376453173,376453174,376453176,376453177,376453179,376453180,376453181,376453182,376453185,376453186,376453187,376453188,376453189,376453190,376453191,376453192,376453193,376453195,376453196,376453198,376453199,376453200,376453201,376453203,376453204,376453206,376453208,376453210,cron
376123549,1b530d87dfdcd5826ebd08975b5f60b71638a4d3,793,master,errored,1994,2018-05-07 22:48:05 UTC,376123550,376123551,376123552,376123553,376123554,376123555,376123556,376123557,376123558,376123559,376123560,376123561,376123562,376123563,376123564,376123565,376123566,376123567,376123568,376123569,376123570,376123571,376123572,376123573,376123574,376123575,376123576,376123577,pull_request
