build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
691066173,cbb2d1b8f1b4231a45294bb3a5867ec4ea15c8f4,,master,passed,276,2020-05-25 19:35:10 UTC,691066174,691066175,691066176,691066177,691066179,691066180,push
691065462,730eaf9441dca2e5d21d58a4c131c969ad114743,822,master,passed,291,2020-05-25 19:32:50 UTC,691065463,691065464,691065465,691065466,691065467,691065468,pull_request
691059867,20d888dc8353a3338cfdf0b371fd3f034b14de95,,master,passed,335,2020-05-25 19:16:09 UTC,691059868,691059869,691059871,691059873,691059874,691059875,691059876,push
691059203,2a2c6ecab5ca7b9e435e3d9d866e98ac4de5f676,821,master,passed,302,2020-05-25 19:14:25 UTC,691059204,691059205,691059206,691059207,691059208,691059209,691059210,pull_request
691047274,13d65370d560fedcf059c02f24d38fb42f57f665,,2.x,failed,324,2020-05-25 18:34:15 UTC,691047275,691047276,691047277,691047278,691047279,691047280,691047281,691047282,push
691047234,d2de0e18e542f07d2ef5283119b09ddadac58abd,,master,passed,375,2020-05-25 18:33:06 UTC,691047236,691047237,691047238,691047239,691047240,691047242,691047243,push
691031824,a19ca9bab0f18f3384b9f0848eb050761f6d4098,,2.4.2,failed,319,2020-05-25 17:39:09 UTC,691031825,691031826,691031827,691031828,691031829,691031830,691031831,691031833,push
691028470,a19ca9bab0f18f3384b9f0848eb050761f6d4098,,2.x,failed,445,2020-05-25 17:27:31 UTC,691028475,691028476,691028477,691028478,691028479,691028480,691028481,691028482,push
680287510,c26d0a1bd07e8b3c446ec11756e9520245a0f1d6,816,master,passed,384,2020-04-27 20:45:10 UTC,680287511,680287512,680287513,680287514,680287515,680287516,680287517,pull_request
677845553,22ef9ae14188af661b895a3c960ef3634604e64e,814,2.x,failed,317,2020-04-21 19:33:33 UTC,677845554,677845555,677845556,677845557,677845558,677845559,677845560,677845561,pull_request
669639019,4609f6e20e7ed213504c9cc9c61bdbefb38f5a0b,,2.x,failed,609,2020-04-01 11:04:20 UTC,669639020,669639021,669639022,669639023,669639024,669639025,669639026,669639027,push
669381363,ba1a32d9613bc95440d4a1be4aecb5520cb7a482,812,2.x,failed,352,2020-03-31 19:02:12 UTC,669381371,669381377,669381378,669381381,669381384,669381386,669381388,669381390,pull_request
668971160,173632ade3acbf873204d0452abd5159e7336094,811,master,passed,361,2020-03-30 21:39:02 UTC,668971161,668971162,668971163,668971164,668971165,668971166,668971167,pull_request
667326078,470618cf0b54b815a915cc9a91eebc13359d9056,810,master,passed,573,2020-03-26 16:08:53 UTC,667326079,667326081,667326082,667326083,667326085,667326087,667326088,pull_request
657445477,0975d7f0b48b89757f724468fac62a9aaf67940b,805,master,passed,385,2020-03-02 19:46:12 UTC,657445478,657445479,657445480,657445481,657445482,657445483,657445484,pull_request
656748731,dd728ee7d8c916226ae0f344fa7d444fdb1c1873,805,master,passed,349,2020-02-29 20:16:22 UTC,656748732,656748733,656748734,656748735,656748736,656748737,656748738,pull_request
656609423,59dd19ad71437b5e32d95f343e5e06307540c7e6,805,master,passed,347,2020-02-29 09:39:34 UTC,656609424,656609425,656609426,656609427,656609428,656609429,656609430,pull_request
655099787,706982bb8a096220d29e5cef156950237753d89f,,master,passed,530,2020-02-25 22:20:52 UTC,655099788,655099789,655099790,655099791,655099792,655099793,655099794,push
654039064,c73d5ab15955018c63953d314406d3806e92e396,805,master,passed,383,2020-02-23 11:02:15 UTC,654039065,654039066,654039067,654039068,654039071,654039072,654039073,pull_request
652052668,85909e167cf352af99498d96c2ee1d4acba782fd,804,master,passed,396,2020-02-18 16:08:14 UTC,652052669,652052670,652052671,652052672,652052673,652052674,652052675,pull_request
638749515,70bed61fbbbea3b2fa6631aa1bb27ba7da301403,650,master,passed,386,2020-01-18 06:43:31 UTC,638749516,638749517,638749518,638749519,638749522,638749524,638749525,pull_request
602488084,53fab60fc8819a8ef220ab68c76b5d6d0481338e,792,master,passed,576,2019-10-24 19:31:36 UTC,602488088,602488089,602488090,602488091,602488092,602488093,602488094,pull_request
602176638,b0b8a0a1036730beb73dcb65233330fd955286ca,791,master,passed,432,2019-10-24 06:51:48 UTC,602176640,602176641,602176643,602176644,602176645,602176646,602176647,pull_request
